region_schema,region_parent,region_child,agerange,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-10,2020-04-11,2020-04-12,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-05-04,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-18,2020-05-19,2020-05-20,2020-05-26,2020-06-03,2020-06-04,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-18,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-28,2020-07-01,2020-07-04,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-25,2020-07-26,2020-07-29,2020-08-04,2020-08-05,2020-08-06,2020-08-13,2020-08-14,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
admin_0,,mm,,1,-2,-3,1,1,16,20,3,-20,1,72,-70,1,0,103,2,-103,121,5,2,-1,149,1,-147,-4,4,2,-163,1,1,-196,204,-202,1,207,-208,23,-240,244,-243,1,-245,1,-251,1,268,4,1,-283,289,15,1,1,303,1,-285,-286,299,320,3,17,-337,1,21,1,1,1
admin_0,,mm,10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1
admin_0,,mm,20-29,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,,,,,,,,,,1,,,,,,1,,1,1,1,1,,,,1,,,,,,,1,,,1,1,1,1,1,1,1
admin_0,,mm,30-39,,,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,,,1,1,1,1,1,1,1,,,1,,,1,1,1,,,,,,,1,,,1,1,,,,,,1,1,,,,1,1,,,,
admin_0,,mm,40-49,,,,,,,,,1,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
admin_0,,mm,50-59,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
admin_0,,mm,60-69,,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,mm,70-79,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
admin_0,,mm,80-89,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
admin_1,mm,mm-06,,1,1,1,1,1,,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,1,,,1,,,,,,,,,,1,,1,1,1,1,1,1,1,,1,,1,,,1,1,,,,,,,,,1
admin_1,mm,mm-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
admin_1,mm,mm-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
admin_1,mm,mm-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
admin_1,mm,mm-17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
