region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-16,2020-11-17,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-06,2020-12-07,2020-12-08,2020-12-09
lt_municipality,lt,kauno,,72,72,72,73,14,86,88,88,91,18,96,99,100,19,101,102,105,20,131,137,142,25,25,151,155,160,162,36,165,168,43,44,44,179,180,185,47,191,192,48,193,193,49,49,193,194,195,52,205,207,207,53,210,212,212,214,53,220,221,223,223,226,232,237,242,59,250,65,68,69,286,290,295,298,302,82,83,317,327,331,89,345,350,96,102,383,391,111,411,434,135,461,157,513,558,588,208,222,240,805,270,960,302,346,373,1234,1311,460,1567,520,595,613,654,2206,723,752,2460,802,2857,2934,3014,958,3182,3299,1049,3679,1158,1186,4065
lt_municipality,lt,kazlų rūdos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,4,5,5,5,5,6,6,6,8,9,9,10,13,14,15,18,20,19,20,30,31,35,34,35,41,41,41,65,67,69,70,74,74,76,79,80,82,85
lt_municipality,lt,kelmės,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5,5,6,7,7,7,7,9,9,10,11,15,20,20,22,23,24,25,31,38,40,42,44,45,45,46,50,52,54,59,63,65,71,76,84,90,90,91,92,93,96,105,105,106,114,116,141,141,147,153,159,172,172,173,202,210,211,215,232,236,249,261,262,268,275
lt_municipality,lt,kupiškio,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,21,22,22,27,29,40,43,44,45,50,49,51,53,54,59,62,66,70,70,74,89,93,93,94,98,98,103,109,111,112,116
lt_municipality,lt,kėdainių,,0,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,8,8,8,8,8,9,10,11,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,16,16,19,20,20,20,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,25,25,25,27,27,29,31,33,33,38,44,45,48,53,55,60,64,66,74,78,92,102,109,130,136,176,186,217,242,274,300,318,328,443,470,483,493,540,555,592,645,652,669,725
lt_municipality,lt,lazdijų,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,9,10,10,12,15,16,19,20,25,28,30,35,33,36,48,51,49,50,53,55,58,66,66,65,71
lt_municipality,lt,marijampolės,,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,40,41,41,41,41,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,46,46,47,49,51,53,55,56,62,72,72,76,78,79,82,87,96,129,136,142,157,168,183,203,223,230,229,248,257,350,380,413,420,424,447,455,463,566,573,603,626,643,670,689,729,751,765,795
lt_municipality,lt,molėtų,,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,8,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,15,16,19,20,22,23,24,24,24,26,25,26,27,27,28,28,34,34,39,41,41,44,44,44,62,67,68,72,79,84,85,96,97,97,100
lt_municipality,lt,panevėžio,,13,13,14,16,18,6,18,6,6,19,6,24,25,27,6,6,7,30,7,31,7,7,7,34,34,34,34,8,8,8,8,36,8,37,8,41,41,41,8,8,8,8,43,43,8,8,43,43,8,8,43,8,8,45,8,8,8,8,8,10,48,10,48,10,10,53,11,11,14,15,15,15,15,67,16,67,16,16,16,18,69,18,70,73,74,20,23,84,25,89,93,100,100,103,116,119,120,124,133,138,145,48,154,56,206,65,72,213,266,115,393,395,157,493,525,569,587,615,797,257,860,284,301,986,1036,1116,1147,391,408
lt_municipality,lt,prienų,,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,15,15,15,17,17,18,19,23,24,29,29,31,32,37,43,45,46,46,53,58,64,75,76,92,96,110,118,129,135,145,150,157,159,183,187,190,196,204,214,233,254,257,263,278
lt_municipality,lt,radviliškio,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,16,19,22,23,27,40,43,47,48,48,56,57,63,69,72,73,74,74,77,78,81,82,82,84,85,86,86,86,86,86,86,86,87,87,87,87,89,89,89,90,96,96,96,102,104,111,115,118,119,120,122,136,175,179,192,204,211,224,239,240,297,319,321,319,332,353,366,381,382,385,397
lt_municipality,lt,raseinių,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,8,8,8,9,9,15,18,21,22,24,29,36,43,48,67,70,81,95,107,124,130,131,132,138,150,159,173,183,192,202,209,214,221,247,251,256,256,256,268,273,274,276,278,278,280,290,291,300,307,313,310,314,318,320,322,331,332,341,346,374,375,391,399,403,413,420,421,467,481,499,498,516,524,538,567,572,572,591
lt_municipality,lt,rokiškio,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,6,6,6,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,14,15,14,14,15,15,15,15,17,17,18,18,18,26,27,31,40,41,54,55,63,68,68,69,94,101,103,104,117,120,126,134,140,140,145
lt_municipality,lt,tauragės,,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,21,29,29,29,29,31,31,31,32,33,35,35,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,41,41,41,41,42,42,42,42,42,44,44,44,44,44,45,45,46,47,49,51,52,55,64,72,75,78,78,82,89,95,102,102,109,129,141,230,235,257,269,278,295,301,305,369,382,389,396,410,412,432,457,466,469,483
lt_municipality,lt,telšių,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,9,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,13,14,15,15,17,18,18,18,24,31,31,37,38,44,48,53,55,65,97,108,112,125,126,140,150,168,169,197,202,206,214,227,228,269,279,287,289,301,314,325,342,346,347,367
lt_municipality,lt,trakų,,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,13,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,20,20,20,20,20,20,22,22,22,26,27,26,26,26,27,29,31,31,31,32,35,37,37,39,44,47,52,53,54,62,66,68,70,73,83,92,115,118,139,141,153,156,159,162,189,192,196,203,223,233,243,256,257,265,277
lt_municipality,lt,ukmergės,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,33,34,35,34,34,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,39,40,40,41,41,42,43,43,43,44,44,46,46,46,48,50,50,50,51,53,55,59,67,74,78,86,86,97,110,130,131,155,157,167,176,177,181,232,249,251,253,286,303,317,334,334,338,373
lt_municipality,lt,utenos,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,9,9,9,14,14,14,14,17,26,27,29,29,30,35,37,40,40,42,47,53,74,74,101,101,113,122,121,126,160,161,165,165,194,198,211,255,258,265,284
lt_municipality,lt,varėnos,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,6,7,7,8,12,17,19,19,19,26,28,33,39,39,47,48,62,66,78,81,94,101,101,104,137,140,141,147,154,167,172,186,186,186,203
lt_municipality,lt,vilkaviškio,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,9,9,9,11,12,14,15,17,19,21,27,32,56,62,76,88,119,128,130,136,214,222,231,232,251,258,263,286,294,295,320
lt_municipality,lt,vilniaus,,106,106,107,233,108,110,111,111,111,112,113,113,114,114,253,114,116,261,121,267,269,121,122,122,122,122,293,122,122,123,314,123,123,123,358,367,125,125,125,125,389,126,126,127,127,128,130,131,131,131,131,131,131,453,132,132,132,132,134,135,136,510,522,140,140,140,142,142,145,598,146,149,631,150,152,152,154,159,164,165,167,759,773,178,179,854,188,910,190,192,199,211,216,224,236,1434,251,1691,289,296,304,2132,330,2403,373,2554,395,2720,443,496,3708,588,637,658,685,710,725,720,823,818,829,852,5852,919,947,1026,6688,1074,1114
lt_municipality,lt,visagino,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,11,8,8,9,8,8,8,8,10,11,12,13,13,12,12,13,15,17,17,16,18,23,41,41,45,48,53,59,59,59,90,94,94,95,103,104,128,139,139,141,154
lt_municipality,lt,zarasų,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,9,10,11,12,13,18,18,18,20,20,22,22,22,38,41,41,41,54,59,64,65,66,67,85
lt_municipality,lt,šakių,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,10,10,10,10,10,11,14,16,16,16,16,19,18,18,18,18,18,19,19,19,19,20,20,20,20,23,26,27,27,29,32,32,32,36,36,38,41,44,62,67,74,82,90,102,104,110,157,167,168,169,184,188,190,199,201,203,215
lt_municipality,lt,šalčininkų,,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,15,17,17,17,19,20,24,25,27,32,35,38,42,50,58,62,90,93,109,121,132,146,150,152,198,208,211,212,225,232,252,277,280,281,301
lt_municipality,lt,šiaulių,,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,10,10,11,11,12,13,13,14,14,21,22,24,25,30,35,38,43,45,46,48,48,49,51,51,61,61,65,66,68,73,74,76,79,84,88,89,90,95,98,100,108,111,118,121,129,135,141,141,148,166,173,177,181,192,200,216,283,308,340,359,382,398,414,428,495,511,516,534,543,556,579,612,620,634,660
lt_municipality,lt,šilalės,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,13,13,14,14,15,15,17,17,17,17,17,18,19,20,22,26,27,27,32,33,36,38,44,47,55,66,75,79,84,97,110,119,171,176,204,220,229,248,250,251,295,307,308,309,319,324,334,340,341,345,357
lt_municipality,lt,širvintų,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,16,18,20,21,22,28,29,30,35,40,41,43,43,51,56,61,68,80,92,97,111,112,124,136,137,148,149,161,176,186,187,189,193,195,199,208,208,209,216
lt_municipality,lt,švenčionių,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,12,12,12,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,24,25,31,40,42,43,48,55,55,61,65,68,68,70,73,73,75,82,91,96,98,103,104,114,125,140,154,154,155,163,190,191,198,204,207,216,215,216,241,252,255,255,263,268,269,291,291,292,302
