region_schema,region_parent,region_child,agerange,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08
admin_1,ch,ch-ag,,,,,,,,,,,,,,,,,,,,,,0,4,11,8,,,,2,18,5,12,,,,35,9,2,4,,,,6,-3,2,-5,-6,,,,-9,-8,-3,,,,-2,-6,-2,5,,,,-1,-3,-5,1,,,,-11,1,-5,-3,,,,-5,-1,2,2,,,,3,1,,,,,,-1,0,1,-2,,,,,-2,1,-1,,,,-1,-1,0,-1,,,,0,0,0,1,,,,-1,0,0,0,,,,0,0,1,-1,,,,1,0,-2,-2,,,,1,3,-1,-2,,,,1,0,4,-3,,,,-2,0,2,1,,,,2,-5,0,-1,,,,2,3,-3,1,,,,-1,-1,-3,0,,,,0,0,-2,0,,,,0,1,0,0,,,,-1,-1,2,-1,,,,1,-7,2,0,,,,2,1,-2,4,,,,-4,-2,3,0,,,,-2,1,-1,4,,,,2,5,1,0,,,,9,-9,3,10,,,,11,-2,7,-4,,,,15,0,-1,-1,,,,7,-8,-7,8,,,,16,-4,-8,-7,,,,7,-10,2,-2,,,,-12,-6,-12,-3,,,,15,-25,16,-2,,,,-5,-2,3,2,,,,12,-26,-25,-2,,,,17,5,-16,-15,,,,-14,-15,7,-7,,,,-4,-8,-4,-1,,,,12,-18,0,-1,,,,-6,-21,1,-17,,,,15,-9,-4,-1,,,,-4,-6,8,-9,,,,-10,-1,0,-5,,,,1,2,3,-5,,,,7,-8,-7,-2,,,,9,-1,-4,3,,,,0,1,-1,2,,,,5,-4,0,-1,,,,-6,-3,-8,,,,,4,11,-26,20,,,,-10,2,-4,-4,,,,-3,3,-2,7,,,,-4,-3,-1,-7,,,,9,-7,1,-3,,,,-9,-5,,,,,,-1,-8,-5,6,,,,,-10,-5,-5,,,,-2,-3,1,0,,,,
admin_1,ch,ch-ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,-5,0,1,,,,,2,0,0,1,,,,0,3,0,,,,0,-1,-2,1,0,,,,-1,-1,0,-1,,,,0,0,1,0,,,,0,0,,,,,,,,,,,,,0,0,0,-1,,,,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,0,0,0,,,,1,0,0,,,,,,1,0,0,,,,,0,0,0,,,,0,0,1,0,,,,0,0,1,0,,,,0,1,0,0,,,,0,0,,,,,,,0,,,,,,,0,0,0,,,,0,0,,,,,,-3
admin_1,ch,ch-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,2,-2,0,4,-3,0,3,0,2,-3,0,,,,-2,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,-2,,,,,0,,,0,,,,2,,,-1,,,,2,,,-1,,,,0,-1,1,-1,,,,0,1,-1,1,,,,-2,,,-1,,,,-2,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,-3,3,3,,,,0,0,-5,2,,,,2,-4,2,1,,,,0,1,-5,2,,,,-3,1,-3,6,,,,2,-4,0,1,,,,3,-5,,,,,,2,-7,-2,-6,,,,2,0,5,-4,,,,0,-1,0,,,,,,,,,,,,0,1,1,-1,,,,4,-3,-1,0,,,,2,0,5,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ch,ch-be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,4,-11,5,4,-3,7,5,5,-10,-10,-8,-4,-3,-7,-3,-12,1,0,0,-5,1,-1,-6,1,0,-7,-7,-3,-5,1,4,-3,-6,3,-4,3,2,-3,0,0,-1,-1,-5,-2,7,0,-5,-4,-1,0,-4,0,0,-2,0,-7,0,-2,0,0,0,-3,0,0,-1,,,,0,1,0,-3,0,0,0,0,2,0,0,0,0,-1,0,-1,0,0,0,0,1,0,5,0,-3,0,0,-1,0,-1,0,3,0,,,0,-1,0,1,0,,,0,0,0,,,,,0,2,0,0,0,,,0,2,0,-1,0,,,0,0,0,-3,,,,0,0,0,-2,0,,,0,0,0,0,0,,,0,-2,0,,,,,0,3,0,2,0,,,0,5,0,-2,0,,,0,4,0,-1,0,,,0,0,0,3,0,,,0,-2,0,11,0,,,0,15,0,5,0,,,0,39,0,32,0,,,0,-4,0,40,0,,,32,4,3,-18,28,12,30,29,-24,7,-8,0,,,-5,-9,-18,7,3,,,-6,-15,-21,-8,0,,,3,-11,-18,-22,3,,,0,-6,11,-11,0,,,-3,2,-11,8,1,,,-16,-4,-25,-38,-4,10,18,21,-8,-5,4,-3,0,7,1,4,-9,-21,0,,,-15,-16,-11,-18,0,,,1,-18,-18,-2,0,,,-8,-9,-6,-17,0,,,-7,-8,-3,-3,0,,,0,7,-11,14,0,,,-1,-3,5,-6,0,,,0,-22,0,2,0,,,0,3,0,-12,0,,,0,-3,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,-15,0,0,,,,0,
admin_1,ch,ch-bl,,,,,,0,0,0,0,0,3,0,0,0,1,-2,6,3,-4,4,5,9,1,-8,8,3,10,11,15,2,0,11,-4,24,-13,2,-2,-5,1,-9,0,-6,-1,-1,-3,-8,-4,-2,0,0,-3,1,-6,4,-4,0,-7,0,-1,-8,-1,-2,-4,-4,-1,-3,-1,0,2,-1,-1,-2,0,-1,-2,-1,1,0,-1,1,-2,0,2,0,0,0,0,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-1,0,1,-3,0,0,0,0,0,0,0,1,1,0,1,0,0,-1,0,-1,0,-1,3,-2,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,-2,1,0,1,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0,1,-1,1,0,4,0,2,2,5,0,2,4,0,4,4,-1,-1,1,2,2,-1,4,-5,11,-2,14,3,9,6,1,-2,-10,-2,6,-1,10,0,-2,-3,8,3,1,6,-7,-5,-5,-8,2,0,-3,-1,-2,-2,3,2,-3,2,0,10,-9,4,-5,1,1,-4,-4,7,0,7,-2,1,-1,-7,8,2,2,3,3,-11,6,-4,-1,1,5,4,-2,-7,-5,1,-1,-2,-8,-9,-2,-8,-8,-3,5,2,-2,-3,-1,0,0,0,0,-1,-4,-3,-1,2,3,2,0,2,-4,0,-1,0,1,-3,-2,3,0,-1,0,3,1,-3,3,2,3,-2,0,-5,-5,0,0,2,1,3,-2,-3,-2,1,0,2,-2,1,-2,2,-1,-1,2,0,0,-1,-3,0,4,-1,0,0,-1,0,-2,2,-3,5,0,1,1,1,1,3,1,-3,-3,2,-3,0,1,4,-3,-1,2,1,-3,0,3,-2,4,3,2,2,0,-6,-4,2,-5,6,1,-4,-1,4,-5,1,5,0,3,-2,-6,-1,-2,1,-1,1,0,-5,-3,1,0,0,4,0,-2,-4,2,-2,0,0,-1,-2,-1,0,1,2,-1,-3
admin_1,ch,ch-bs,,,,0,1,0,3,2,2,1,0,0,1,6,4,4,3,1,8,2,5,2,4,-2,0,15,3,8,-3,1,1,3,8,3,15,3,10,-5,-3,-4,-8,1,-1,-7,-6,6,-6,4,-4,-6,-3,-8,-1,-6,-4,-3,-5,-7,-2,-9,-2,-1,0,-2,-2,-2,0,0,1,-1,0,-1,-1,-3,-2,0,1,-3,-1,0,0,0,1,0,-5,0,0,-1,-1,0,-1,0,0,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,1,2,0,1,0,1,0,0,-1,-1,2,0,0,0,1,0,0,1,-1,-1,-1,0,0,-1,0,0,1,1,0,0,2,1,0,0,0,0,0,-1,1,1,-3,-1,0,4,-1,0,0,2,-2,0,-1,0,0,0,0,-1,-1,-1,-1,0,1,0,1,0,1,-1,-1,0,-1,-1,0,1,1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,3,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,3,0,6,-2,0,3,-2,1,6,0,2,1,3,8,3,4,5,-2,-3,9,12,7,-1,12,12,-3,-1,7,6,3,15,2,-1,12,6,8,5,-1,8,0,-9,-5,-4,-3,2,4,0,3,0,0,2,13,-4,-5,3,-7,7,-3,0,1,-12,1,0,7,-9,5,5,3,-3,2,0,3,1,-15,-7,0,9,3,-2,0,-8,3,-19,3,-10,-3,1,1,-7,2,-2,-2,-2,-9,-6,-15,-4,1,2,2,1,-3,-5,-1,-7,-1,-4,2,-3,-3,3,4,5,-5,-4,0,1,-3,2,-2,0,-2,-5,-6,-2,-5,-1,0,2,-6,0,-5,1,6,-4,3,-1,-2,-2,-1,0,5,1,1,-2,-1,-1,1,-1,2,5,-3,3,5,3,1,-6,2,3,-1,-2,3,0,-1,0,-1,-2,-1,0,3,2,-4,2,-2,3,5,3,1,-3,-5,5,-1,4,3,0,-3,0,2,-1,1,-1,3,2,-3,0,-2,5,0,5,1,-6,1,2,0,2,1,6,-9,-1,-8,-1,3,-5,-5,-5,-1,0,0,2,-6,0,-4,-4,2,-2,-2,0,0,-3,0,1,-1,0,2,2,1,0,0,0,-1,-1
admin_1,ch,ch-fr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-15,1,8,8,4,3,0,4,5,6,17,9,1,0,4,-1,-3,12,-2,0,-9,2,0,-7,-5,-3,3,0,-7,-1,6,-2,-3,1,-2,-3,0,-2,-1,0,1,-6,-1,-2,-3,-5,-3,1,-1,-1,-4,0,0,-4,0,0,-1,-5,-1,-1,-2,0,-1,-3,-1,0,-1,-1,-1,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,0,1,-1,-1,0,-2,0,3,-1,0,0,1,-3,0,4,0,-1,0,1,0,0,0,0,0,0,-1,-2,0,0,0,0,1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-2,0,2,0,-1,-1,0,0,1,0,0,2,0,0,0,1,-1,0,0,1,0,5,7,2,1,1,-2,-3,2,-5,-5,0,0,0,0,0,0,0,1,1,0,-2,0,-1,0,1,1,0,1,0,1,2,-1,0,0,8,3,2,7,2,6,2,3,14,1,5,8,9,12,10,18,10,13,15,14,15,5,4,3,-6,-4,8,12,0,-1,-6,-19,3,7,1,-8,-11,-9,-11,-2,-1,1,2,-10,-7,-10,-7,2,-11,-8,-23,4,-6,5,1,2,0,-2,-4,1,1,1,-1,-7,-11,-2,-7,-1,4,-2,-2,-1,-3,1,2,-2,-3,-4,1,-2,2,1,7,-1,-5,1,1,-4,-3,1,2,-2,-6,-3,2,4,0,-1,-5,3,-1,-3,1,3,3,4,0,-5,-5,0,0,-5,2,-5,-5,-2,1,-1,2,2,0,0,-2,0,2,-2,-1,0,-2,0,0,0,3,1,4,3,-4,1,5,0,1,0,-3,2,2,-1,2,-3,-1,-1,-2,0,0,-2,0,-5,1,0,-1,3,-5,0,1,3,-1,7,0,0,0,-2,1,3,-1,0,4,0,-5,-3,-1,2,2,-4,-5,0,-3,1,6,2,1,-4,-5,2,3,1,2,-1,-2,0,1,1,0,0,6,-3,-6,-3,-1,1,1,1,-2,-3,-3,-2,-1,1,-1,0,-1,1,0,-2,0,-1,2,-1,0,0,-1,0,-3,1,0,0,2,0,0,
admin_1,ch,ch-gl,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,1,0,-1,1,2,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,-2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,,,,0,0,-1,0,,,,-1,0,0,0,,,,,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,1,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,1,0,,,,0,0,-1,0,,,,0,0,0,0,,,,0,0,1,0,,,,0,0,-1,2,,,,1,2,0,2,,,,4,2,-3,-1,,,,0,-2,-1,2,,,,-1,-3,-3,1,,,,-1,-1,-1,0,,,,0,1,0,1,,,,-1,1,-3,0,,,,-5,-1,2,1,,,,0,-1,2,-1,,,,6,-5,1,1,,,,2,-1,0,1,,,,-3,-1,3,-1,,,,2,1,-3,1,,,,-3,-4,-2,-2,,,,-3,1,0,0,,,,-1,1,-2,0,,,,0,-2,0,-1,,,,-1,0,-1,0,,,,0,0,0,-1,,,,0,0,1,0,,,,0,1,0,-1,,,,-1,0,-1,-1,,,,1,0,1,,,,,,1,,,,,,3,-2,1,2,,,,1,-1,0,-1,,,,-1,0,-3,0,,,,4,-1,2,1,,,,-1,-1,,,,,,-2,-1,3,-2,,,,,0,-1,0,,,,0,0,0,0,,,,0
admin_1,ch,ch-ju,,,,0,0,0,0,0,0,1,3,1,0,0,0,1,0,2,0,1,0,2,0,1,2,-1,5,0,5,2,-1,3,3,1,0,1,0,0,-1,-1,3,0,1,2,-3,-2,-2,-1,3,-4,-5,1,-1,0,-1,-4,-2,0,-1,0,0,0,-3,0,-1,-1,0,0,0,0,0,1,-1,-1,0,0,-3,0,-3,0,0,0,1,0,0,0,1,-2,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,-1,2,0,0,0,1,0,-1,0,1,0,0,-1,-1,0,-1,0,-1,0,1,0,1,0,0,2,0,0,1,0,2,1,-1,1,3,0,3,4,2,-1,2,1,5,1,8,2,3,6,1,4,6,3,4,4,6,-1,2,5,3,-2,12,2,0,-13,-3,-8,-4,1,0,-2,-12,1,-1,-1,2,-10,-3,-5,-2,-5,0,0,-3,-1,1,-5,-5,2,-1,-3,0,3,-3,1,-3,3,-1,-3,-2,0,-2,-1,0,1,1,3,5,0,2,5,-2,1,2,-3,2,0,3,1,0,1,-3,0,-3,0,-3,-5,1,3,-2,0,1,1,-2,-3,-3,-2,0,2,2,3,-4,-1,-2,-2,2,0,1,-2,3,-1,-4,5,1,1,-2,5,0,2,1,-4,1,0,-1,0,0,-1,3,-1,-3,1,1,-1,0,-1,-4,-3,-2,0,1,-2,-2,1,-1,0,-3,0,0,0,0,3,0,0,-1,1,-1,-2,0,0,1,1,-2,-2,-1,0,-1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,-2,-1,1,0,-2,3,-1,0,2,2,-1,0,2,-2,1,0,0,0,-1,1,1,1,0,1,-2,-1,-1,1,-1,2,0,0,1,-3,-2,2,2,0,-2,-2,0,1,0,1,-1,1,-1,1,1,-1,-1,0,-1,-1,1,-1,2,1,0,-1,
admin_1,ch,ch-lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-17,0,-22,1,-1,1,-5,-1,-1,-1,3,2,1,-3,0,-2,0,-2,1,-1,-1,4,-2,1,0,-4,-1,0,1,2,0,-4,1,0,0,-2,0,0,-2,0,0,-1,0,0,0,-1,-1,-2,,,,,,,,,,,,,,,0,0,,,,0,-1,,,,,-4,2,1,0,-1,,,,0,0,0,0,,,,0,-1,0,0,,,,0,-2,0,0,,,,1,1,1,1,0,0,0,0,0,-2,1,,,0,0,2,1,3,1,,,1,0,-1,-1,-1,,,-2,1,1,0,,,,0,0,-1,1,,,,1,0,1,0,,,,0,-2,-1,1,,,,-2,0,0,0,,,,-2,1,0,0,,,,1,0,1,0,,,,-2,-1,1,,,,,0,-1,1,1,,,,-1,2,2,-2,,,,3,1,5,6,,,,7,6,-4,8,,,,3,-6,5,3,,,-6,-1,2,-7,-19,,,,13,-1,7,7,,,,-3,2,-2,1,,,,-12,-9,-1,1,,,,,,3,0,,,,1,7,1,-10,,,,-1,-8,0,,,,,19,-10,,,,,,-8,-4,-4,-1,,,,1,7,-8,-7,,,,0,-6,-6,1,,,,-12,7,-14,1,,,,-8,1,-8,4,,,,1,-7,-7,-5,,,,0,-1,-2,3,,,,-4,-2,-1,-1,,,,-2,4,4,-4,,,,-5,3,3,0,,,,1,5,-1,-3,,,,-2,-4,2,-3,,,,1,3,-1,,,,,,1,1,-1,,,,0,2,-6,-1,,,,-6,3,-3,3,,,,-6,1,1,3,,,,6,-3,2,-1,,,,-5,1,,,,,,-1,2,-6,0,,,,,0,-3,4,,,,-2,-2,,,,,,1
