date,region_schema,region_parent,region_child,agerange,value
2020-01-25,admin_1,au,au-vic,,1
2020-01-28,admin_1,au,au-vic,,1
2020-01-30,admin_1,au,au-vic,,1
2020-01-31,admin_1,au,au-vic,,1
2020-02-22,admin_1,au,au-vic,,1
2020-02-25,admin_1,au,au-vic,,1
2020-03-04,admin_1,au,au-vic,,1
2020-03-06,admin_1,au,au-vic,,2
2020-03-07,admin_1,au,au-vic,,2
2020-03-08,admin_1,au,au-vic,,2
2020-03-09,admin_1,au,au-vic,,2
2020-03-10,admin_1,au,au-vic,,1
2020-03-11,admin_1,au,au-vic,,1
2020-03-12,admin_1,au,au-vic,,1
2020-03-13,admin_1,au,au-vic,,1
2020-03-14,admin_1,au,au-vic,,1
2020-03-15,admin_1,au,au-vic,,1
2020-03-16,admin_1,au,au-vic,,1
2020-03-17,admin_1,au,au-vic,,1
2020-03-18,admin_1,au,au-vic,,1
2020-03-19,admin_1,au,au-vic,,1
2020-03-20,admin_1,au,au-vic,,1
2020-03-21,admin_1,au,au-vic,,1
2020-03-22,admin_1,au,au-vic,,1
2020-03-23,admin_1,au,au-vic,,1
2020-03-24,admin_1,au,au-vic,,1
2020-03-25,admin_1,au,au-vic,,1
2020-03-26,admin_1,au,au-vic,,1
2020-03-27,admin_1,au,au-vic,,1
2020-03-28,admin_1,au,au-vic,,1
2020-03-29,admin_1,au,au-vic,,1
2020-03-30,admin_1,au,au-vic,,1
2020-03-31,admin_1,au,au-vic,,1
2020-04-01,admin_1,au,au-vic,,1
2020-04-02,admin_1,au,au-vic,,1
2020-04-03,admin_1,au,au-vic,,1
2020-04-04,admin_1,au,au-vic,,1
2020-04-05,admin_1,au,au-vic,,2
2020-04-06,admin_1,au,au-vic,,2
2020-04-07,admin_1,au,au-vic,,2
2020-04-08,admin_1,au,au-vic,,2
2020-04-09,admin_1,au,au-vic,,2
2020-04-10,admin_1,au,au-vic,,1
2020-04-11,admin_1,au,au-vic,,1
2020-04-12,admin_1,au,au-vic,,1
2020-04-13,admin_1,au,au-vic,,1
2020-04-14,admin_1,au,au-vic,,1
2020-04-15,admin_1,au,au-vic,,1
2020-04-16,admin_1,au,au-vic,,1
2020-04-17,admin_1,au,au-vic,,1
2020-04-18,admin_1,au,au-vic,,1
2020-04-19,admin_1,au,au-vic,,1
2020-04-20,admin_1,au,au-vic,,1
2020-04-21,admin_1,au,au-vic,,1
2020-04-22,admin_1,au,au-vic,,1
2020-04-23,admin_1,au,au-vic,,1
2020-04-24,admin_1,au,au-vic,,1
2020-04-25,admin_1,au,au-vic,,1
2020-04-26,admin_1,au,au-vic,,1
2020-04-27,admin_1,au,au-vic,,1
2020-04-28,admin_1,au,au-vic,,1
2020-04-29,admin_1,au,au-vic,,1
2020-04-30,admin_1,au,au-vic,,1
2020-05-01,admin_1,au,au-vic,,1
2020-05-02,admin_1,au,au-vic,,1
2020-05-03,admin_1,au,au-vic,,1
2020-05-04,admin_1,au,au-vic,,1
2020-05-05,admin_1,au,au-vic,,2
2020-05-06,admin_1,au,au-vic,,2
2020-05-07,admin_1,au,au-vic,,2
2020-05-08,admin_1,au,au-vic,,2
2020-05-09,admin_1,au,au-vic,,2
2020-05-10,admin_1,au,au-vic,,1
2020-05-11,admin_1,au,au-vic,,1
2020-05-12,admin_1,au,au-vic,,1
2020-05-13,admin_1,au,au-vic,,1
2020-05-14,admin_1,au,au-vic,,1
2020-05-15,admin_1,au,au-vic,,1
2020-05-16,admin_1,au,au-vic,,1
2020-05-17,admin_1,au,au-vic,,1
2020-05-18,admin_1,au,au-vic,,1
2020-05-19,admin_1,au,au-vic,,1
2020-05-20,admin_1,au,au-vic,,1
2020-05-21,admin_1,au,au-vic,,1
2020-05-22,admin_1,au,au-vic,,1
2020-05-23,admin_1,au,au-vic,,1
2020-05-24,admin_1,au,au-vic,,1
2020-05-25,admin_1,au,au-vic,,1
2020-05-26,admin_1,au,au-vic,,1
2020-05-27,admin_1,au,au-vic,,1
2020-05-28,admin_1,au,au-vic,,1
2020-05-29,admin_1,au,au-vic,,1
2020-05-30,admin_1,au,au-vic,,1
2020-05-31,admin_1,au,au-vic,,1
2020-06-01,admin_1,au,au-vic,,1
2020-06-02,admin_1,au,au-vic,,1
2020-06-03,admin_1,au,au-vic,,1
2020-06-04,admin_1,au,au-vic,,1
2020-06-05,admin_1,au,au-vic,,2
2020-06-06,admin_1,au,au-vic,,2
2020-06-07,admin_1,au,au-vic,,2
2020-06-09,admin_1,au,au-vic,,2
2020-06-10,admin_1,au,au-vic,,1
2020-06-11,admin_1,au,au-vic,,1
2020-06-12,admin_1,au,au-vic,,1
2020-06-13,admin_1,au,au-vic,,1
2020-06-14,admin_1,au,au-vic,,1
2020-06-15,admin_1,au,au-vic,,1
2020-06-16,admin_1,au,au-vic,,1
2020-06-17,admin_1,au,au-vic,,1
2020-06-18,admin_1,au,au-vic,,1
2020-06-19,admin_1,au,au-vic,,1
2020-06-20,admin_1,au,au-vic,,1
2020-06-21,admin_1,au,au-vic,,1
2020-06-22,admin_1,au,au-vic,,1
2020-06-23,admin_1,au,au-vic,,1
2020-06-24,admin_1,au,au-vic,,1
2020-06-25,admin_1,au,au-vic,,1
2020-06-26,admin_1,au,au-vic,,1
2020-06-27,admin_1,au,au-vic,,1
2020-06-28,admin_1,au,au-vic,,1
2020-06-29,admin_1,au,au-vic,,1
2020-06-30,admin_1,au,au-vic,,1
2020-07-01,admin_1,au,au-vic,,1
2020-07-02,admin_1,au,au-vic,,1
2020-07-03,admin_1,au,au-vic,,1
2020-07-04,admin_1,au,au-vic,,2
2020-07-05,admin_1,au,au-vic,,2
2020-07-06,admin_1,au,au-vic,,2
2020-07-07,admin_1,au,au-vic,,2
2020-07-08,admin_1,au,au-vic,,2
2020-07-09,admin_1,au,au-vic,,2
2020-07-10,admin_1,au,au-vic,,1
2020-07-11,admin_1,au,au-vic,,1
2020-07-12,admin_1,au,au-vic,,1
2020-07-13,admin_1,au,au-vic,,1
2020-07-14,admin_1,au,au-vic,,1
2020-07-15,admin_1,au,au-vic,,1
2020-07-16,admin_1,au,au-vic,,1
2020-07-17,admin_1,au,au-vic,,1
2020-07-18,admin_1,au,au-vic,,1
2020-07-19,admin_1,au,au-vic,,1
2020-07-20,admin_1,au,au-vic,,1
2020-07-21,admin_1,au,au-vic,,1
2020-07-22,admin_1,au,au-vic,,1
2020-07-23,admin_1,au,au-vic,,1
2020-07-24,admin_1,au,au-vic,,1
2020-07-25,admin_1,au,au-vic,,1
2020-07-26,admin_1,au,au-vic,,1
2020-07-27,admin_1,au,au-vic,,1
2020-07-28,admin_1,au,au-vic,,1
2020-07-29,admin_1,au,au-vic,,1
2020-07-30,admin_1,au,au-vic,,1
2020-07-31,admin_1,au,au-vic,,1
2020-08-01,admin_1,au,au-vic,,1
2020-08-02,admin_1,au,au-vic,,1
2020-08-03,admin_1,au,au-vic,,1
2020-08-04,admin_1,au,au-vic,,2
2020-08-05,admin_1,au,au-vic,,2
2020-08-06,admin_1,au,au-vic,,2
2020-08-07,admin_1,au,au-vic,,2
2020-08-08,admin_1,au,au-vic,,2
2020-08-09,admin_1,au,au-vic,,2
2020-08-10,admin_1,au,au-vic,,1
2020-08-11,admin_1,au,au-vic,,1
2020-08-12,admin_1,au,au-vic,,1
2020-08-13,admin_1,au,au-vic,,1
2020-08-14,admin_1,au,au-vic,,1
2020-08-15,admin_1,au,au-vic,,1
2020-08-16,admin_1,au,au-vic,,1
2020-08-17,admin_1,au,au-vic,,1
2020-08-18,admin_1,au,au-vic,,1
2020-08-19,admin_1,au,au-vic,,1
2020-08-20,admin_1,au,au-vic,,1
2020-08-21,admin_1,au,au-vic,,1
2020-08-22,admin_1,au,au-vic,,1
2020-08-23,admin_1,au,au-vic,,1
2020-08-24,admin_1,au,au-vic,,1
2020-08-25,admin_1,au,au-vic,,1
2020-08-26,admin_1,au,au-vic,,1
2020-08-27,admin_1,au,au-vic,,1
2020-08-28,admin_1,au,au-vic,,1
2020-08-29,admin_1,au,au-vic,,1
2020-08-30,admin_1,au,au-vic,,1
2020-08-31,admin_1,au,au-vic,,1
2020-09-01,admin_1,au,au-vic,,1
2020-09-02,admin_1,au,au-vic,,1
2020-09-03,admin_1,au,au-vic,,1
2020-09-04,admin_1,au,au-vic,,2
2020-09-05,admin_1,au,au-vic,,2
2020-09-06,admin_1,au,au-vic,,2
2020-09-07,admin_1,au,au-vic,,2
2020-09-08,admin_1,au,au-vic,,2
2020-09-09,admin_1,au,au-vic,,2
2020-09-10,admin_1,au,au-vic,,1
2020-09-11,admin_1,au,au-vic,,1
2020-09-12,admin_1,au,au-vic,,1
2020-09-13,admin_1,au,au-vic,,1
2020-09-14,admin_1,au,au-vic,,1
2020-09-15,admin_1,au,au-vic,,1
2020-09-16,admin_1,au,au-vic,,1
2020-09-17,admin_1,au,au-vic,,1
2020-09-18,admin_1,au,au-vic,,1
2020-09-19,admin_1,au,au-vic,,1
2020-09-20,admin_1,au,au-vic,,1
2020-09-21,admin_1,au,au-vic,,1
2020-09-22,admin_1,au,au-vic,,1
2020-09-23,admin_1,au,au-vic,,1
2020-09-24,admin_1,au,au-vic,,1
2020-09-25,admin_1,au,au-vic,,1
2020-09-26,admin_1,au,au-vic,,1
2020-09-27,admin_1,au,au-vic,,1
2020-09-28,admin_1,au,au-vic,,1
2020-09-29,admin_1,au,au-vic,,1
2020-09-30,admin_1,au,au-vic,,1
2020-10-01,admin_1,au,au-vic,,1
2020-10-02,admin_1,au,au-vic,,1
2020-10-03,admin_1,au,au-vic,,1
2020-10-04,admin_1,au,au-vic,,2
2020-10-05,admin_1,au,au-vic,,2
2020-10-06,admin_1,au,au-vic,,2
2020-10-07,admin_1,au,au-vic,,2
2020-10-08,admin_1,au,au-vic,,2
2020-10-09,admin_1,au,au-vic,,2
2020-10-10,admin_1,au,au-vic,,1
2020-10-11,admin_1,au,au-vic,,1
2020-10-12,admin_1,au,au-vic,,1
2020-10-13,admin_1,au,au-vic,,1
2020-10-14,admin_1,au,au-vic,,1
2020-10-15,admin_1,au,au-vic,,1
2020-10-16,admin_1,au,au-vic,,1
2020-10-17,admin_1,au,au-vic,,1
2020-10-18,admin_1,au,au-vic,,1
2020-10-20,admin_1,au,au-vic,,1
2020-10-21,admin_1,au,au-vic,,1
2020-10-22,admin_1,au,au-vic,,1
2020-10-23,admin_1,au,au-vic,,1
2020-10-24,admin_1,au,au-vic,,1
2020-10-27,admin_1,au,au-vic,,1
2020-10-28,admin_1,au,au-vic,,1
2020-10-29,admin_1,au,au-vic,,1
2020-12-11,admin_1,au,au-vic,,1
2020-12-12,admin_1,au,au-vic,,1
2020-12-13,admin_1,au,au-vic,,1
2020-12-17,admin_1,au,au-vic,,1
2020-12-18,admin_1,au,au-vic,,1
2020-12-19,admin_1,au,au-vic,,1
2020-12-20,admin_1,au,au-vic,,1
2020-12-21,admin_1,au,au-vic,,1
2020-12-22,admin_1,au,au-vic,,1
2020-12-26,admin_1,au,au-vic,,1
2020-12-27,admin_1,au,au-vic,,1
2020-12-29,admin_1,au,au-vic,,1
2020-12-30,admin_1,au,au-vic,,3
2020-12-31,admin_1,au,au-vic,,5
2021-01-01,admin_1,au,au-vic,,12
2021-01-02,admin_1,au,au-vic,,15
2021-01-03,admin_1,au,au-vic,,10
2021-01-04,admin_1,au,au-vic,,10
2021-01-05,admin_1,au,au-vic,,4
2021-01-07,admin_1,au,au-vic,,4
2021-01-08,admin_1,au,au-vic,,4
2021-01-09,admin_1,au,au-vic,,2
2021-01-10,admin_1,au,au-vic,,1
2021-01-12,admin_1,au,au-vic,,1
2021-01-14,admin_1,au,au-vic,,1
2021-01-15,admin_1,au,au-vic,,1
2021-01-16,admin_1,au,au-vic,,1
2021-01-17,admin_1,au,au-vic,,1
2021-01-18,admin_1,au,au-vic,,1
2021-01-19,admin_1,au,au-vic,,1
2021-01-20,admin_1,au,au-vic,,1
2021-01-21,admin_1,au,au-vic,,1
2021-01-22,admin_1,au,au-vic,,1
2021-01-24,admin_1,au,au-vic,,1
2021-01-25,admin_1,au,au-vic,,1
2021-01-26,admin_1,au,au-vic,,1
2021-01-27,admin_1,au,au-vic,,1
2021-01-28,admin_1,au,au-vic,,1
2021-01-29,admin_1,au,au-vic,,1
2021-01-31,admin_1,au,au-vic,,1
2021-02-03,admin_1,au,au-vic,,1
2021-02-04,admin_1,au,au-vic,,1
2021-02-07,admin_1,au,au-vic,,2
2021-02-09,admin_1,au,au-vic,,2
2021-02-10,admin_1,au,au-vic,,1
2021-02-11,admin_1,au,au-vic,,1
