date,region_schema,region_parent,region_child,agerange,value
2020-01-01,admin_1,ar,ar-c,,1
2020-01-01,admin_1,ar,ar-w,,0
2020-01-05,admin_1,br,br-df,,1
2020-01-07,admin_1,ar,ar-b,,3
2020-01-13,admin_1,ar,ar-c,,1
2020-01-17,admin_1,ar,ar-b,,3
2020-01-17,admin_1,ar,ar-m,,0
2020-01-21,admin_1,ar,ar-d,,0
2020-01-23,admin_1,br,br-ro,,1
2020-01-28,admin_1,ar,ar-j,,0
2020-02-01,admin_1,ar,ar-b,,3
2020-02-03,admin_1,ar,ar-b,,3
2020-02-04,admin_1,ar,ar-u,,0
2020-02-06,admin_1,ar,ar-b,,3
2020-02-07,admin_1,ar,ar-b,,3
2020-02-10,admin_1,ar,ar-s,,0
2020-02-10,admin_1,mx,mx-agu,,0
2020-02-10,admin_1,mx,mx-bcn,,0
2020-02-10,admin_1,mx,mx-bcs,,0
2020-02-10,admin_1,mx,mx-cam,,0
2020-02-10,admin_1,mx,mx-chh,,0
2020-02-10,admin_1,mx,mx-chp,,0
2020-02-10,admin_1,mx,mx-coa,,0
2020-02-10,admin_1,mx,mx-col,,0
2020-02-10,admin_1,mx,mx-dif,,0
2020-02-10,admin_1,mx,mx-dur,,0
2020-02-10,admin_1,mx,mx-gro,,0
2020-02-10,admin_1,mx,mx-gua,,0
2020-02-10,admin_1,mx,mx-hid,,0
2020-02-10,admin_1,mx,mx-jal,,0
2020-02-10,admin_1,mx,mx-mic,,0
2020-02-10,admin_1,mx,mx-mor,,0
2020-02-10,admin_1,mx,mx-nay,,0
2020-02-10,admin_1,mx,mx-nle,,0
2020-02-10,admin_1,mx,mx-oax,,0
2020-02-10,admin_1,mx,mx-pue,,0
2020-02-10,admin_1,mx,mx-que,,0
2020-02-10,admin_1,mx,mx-roo,,0
2020-02-10,admin_1,mx,mx-sin,,0
2020-02-10,admin_1,mx,mx-slp,,0
2020-02-10,admin_1,mx,mx-son,,0
2020-02-10,admin_1,mx,mx-tab,,0
2020-02-10,admin_1,mx,mx-tam,,0
2020-02-10,admin_1,mx,mx-tla,,0
2020-02-10,admin_1,mx,mx-ver,,0
2020-02-10,admin_1,mx,mx-yuc,,0
2020-02-10,admin_1,mx,mx-zac,,0
2020-02-11,admin_1,ar,ar-c,,1
2020-02-11,admin_1,ar,ar-q,,0
2020-02-11,admin_1,mx,mx-agu,,0
2020-02-11,admin_1,mx,mx-bcn,,0
2020-02-11,admin_1,mx,mx-bcs,,0
2020-02-11,admin_1,mx,mx-cam,,0
2020-02-11,admin_1,mx,mx-chh,,0
2020-02-11,admin_1,mx,mx-chp,,0
2020-02-11,admin_1,mx,mx-coa,,0
2020-02-11,admin_1,mx,mx-col,,0
2020-02-11,admin_1,mx,mx-dif,,0
2020-02-11,admin_1,mx,mx-dur,,0
2020-02-11,admin_1,mx,mx-gro,,0
2020-02-11,admin_1,mx,mx-gua,,0
2020-02-11,admin_1,mx,mx-hid,,0
2020-02-11,admin_1,mx,mx-jal,,0
2020-02-11,admin_1,mx,mx-mic,,0
2020-02-11,admin_1,mx,mx-mor,,0
2020-02-11,admin_1,mx,mx-nay,,0
2020-02-11,admin_1,mx,mx-nle,,0
2020-02-11,admin_1,mx,mx-oax,,0
2020-02-11,admin_1,mx,mx-pue,,0
2020-02-11,admin_1,mx,mx-que,,0
2020-02-11,admin_1,mx,mx-roo,,0
2020-02-11,admin_1,mx,mx-sin,,0
2020-02-11,admin_1,mx,mx-slp,,0
2020-02-11,admin_1,mx,mx-son,,0
2020-02-11,admin_1,mx,mx-tab,,0
2020-02-11,admin_1,mx,mx-tam,,0
2020-02-11,admin_1,mx,mx-tla,,0
2020-02-11,admin_1,mx,mx-ver,,0
2020-02-11,admin_1,mx,mx-yuc,,0
2020-02-11,admin_1,mx,mx-zac,,0
2020-02-12,admin_1,ar,ar-b,,3
2020-02-12,admin_1,ar,ar-c,,1
2020-02-12,admin_1,br,br-es,,1
2020-02-12,admin_1,mx,mx-agu,,0
2020-02-12,admin_1,mx,mx-bcn,,0
2020-02-12,admin_1,mx,mx-bcs,,0
2020-02-12,admin_1,mx,mx-cam,,0
2020-02-12,admin_1,mx,mx-chh,,0
2020-02-12,admin_1,mx,mx-chp,,0
2020-02-12,admin_1,mx,mx-coa,,0
2020-02-12,admin_1,mx,mx-col,,0
2020-02-12,admin_1,mx,mx-dif,,0
2020-02-12,admin_1,mx,mx-dur,,0
2020-02-12,admin_1,mx,mx-gro,,0
2020-02-12,admin_1,mx,mx-gua,,0
2020-02-12,admin_1,mx,mx-hid,,0
2020-02-12,admin_1,mx,mx-jal,,0
2020-02-12,admin_1,mx,mx-mic,,0
2020-02-12,admin_1,mx,mx-mor,,0
2020-02-12,admin_1,mx,mx-nay,,0
2020-02-12,admin_1,mx,mx-nle,,0
2020-02-12,admin_1,mx,mx-oax,,0
2020-02-12,admin_1,mx,mx-pue,,0
2020-02-12,admin_1,mx,mx-que,,0
2020-02-12,admin_1,mx,mx-roo,,0
2020-02-12,admin_1,mx,mx-sin,,0
2020-02-12,admin_1,mx,mx-slp,,0
2020-02-12,admin_1,mx,mx-son,,0
2020-02-12,admin_1,mx,mx-tab,,0
2020-02-12,admin_1,mx,mx-tam,,0
2020-02-12,admin_1,mx,mx-tla,,0
2020-02-12,admin_1,mx,mx-ver,,0
2020-02-12,admin_1,mx,mx-yuc,,0
2020-02-12,admin_1,mx,mx-zac,,0
2020-02-13,admin_1,ar,ar-b,,4
2020-02-13,admin_1,mx,mx-agu,,0
2020-02-13,admin_1,mx,mx-bcn,,0
2020-02-13,admin_1,mx,mx-bcs,,0
2020-02-13,admin_1,mx,mx-cam,,0
2020-02-13,admin_1,mx,mx-chh,,0
2020-02-13,admin_1,mx,mx-chp,,0
2020-02-13,admin_1,mx,mx-coa,,0
2020-02-13,admin_1,mx,mx-col,,0
2020-02-13,admin_1,mx,mx-dif,,0
2020-02-13,admin_1,mx,mx-dur,,0
2020-02-13,admin_1,mx,mx-gro,,0
2020-02-13,admin_1,mx,mx-gua,,0
2020-02-13,admin_1,mx,mx-hid,,0
2020-02-13,admin_1,mx,mx-jal,,0
2020-02-13,admin_1,mx,mx-mic,,0
2020-02-13,admin_1,mx,mx-mor,,0
2020-02-13,admin_1,mx,mx-nay,,0
2020-02-13,admin_1,mx,mx-nle,,0
2020-02-13,admin_1,mx,mx-oax,,0
2020-02-13,admin_1,mx,mx-pue,,0
2020-02-13,admin_1,mx,mx-que,,0
2020-02-13,admin_1,mx,mx-roo,,0
2020-02-13,admin_1,mx,mx-sin,,0
2020-02-13,admin_1,mx,mx-slp,,0
2020-02-13,admin_1,mx,mx-son,,0
2020-02-13,admin_1,mx,mx-tab,,0
2020-02-13,admin_1,mx,mx-tam,,0
2020-02-13,admin_1,mx,mx-tla,,0
2020-02-13,admin_1,mx,mx-ver,,0
2020-02-13,admin_1,mx,mx-yuc,,0
2020-02-13,admin_1,mx,mx-zac,,0
2020-02-14,admin_1,ar,ar-b,,4
2020-02-14,admin_1,ar,ar-c,,1
2020-02-14,admin_1,mx,mx-agu,,0
2020-02-14,admin_1,mx,mx-bcn,,0
2020-02-14,admin_1,mx,mx-bcs,,0
2020-02-14,admin_1,mx,mx-cam,,0
2020-02-14,admin_1,mx,mx-chh,,0
2020-02-14,admin_1,mx,mx-chp,,0
2020-02-14,admin_1,mx,mx-coa,,0
2020-02-14,admin_1,mx,mx-col,,0
2020-02-14,admin_1,mx,mx-dif,,0
2020-02-14,admin_1,mx,mx-dur,,0
2020-02-14,admin_1,mx,mx-gro,,0
2020-02-14,admin_1,mx,mx-gua,,0
2020-02-14,admin_1,mx,mx-hid,,0
2020-02-14,admin_1,mx,mx-jal,,0
2020-02-14,admin_1,mx,mx-mic,,0
2020-02-14,admin_1,mx,mx-mor,,0
2020-02-14,admin_1,mx,mx-nay,,0
2020-02-14,admin_1,mx,mx-nle,,0
2020-02-14,admin_1,mx,mx-oax,,0
2020-02-14,admin_1,mx,mx-pue,,0
2020-02-14,admin_1,mx,mx-que,,0
2020-02-14,admin_1,mx,mx-roo,,0
2020-02-14,admin_1,mx,mx-sin,,0
2020-02-14,admin_1,mx,mx-slp,,0
2020-02-14,admin_1,mx,mx-son,,0
2020-02-14,admin_1,mx,mx-tab,,0
2020-02-14,admin_1,mx,mx-tam,,0
2020-02-14,admin_1,mx,mx-tla,,0
2020-02-14,admin_1,mx,mx-ver,,0
2020-02-14,admin_1,mx,mx-yuc,,0
2020-02-14,admin_1,mx,mx-zac,,0
2020-02-15,admin_1,ar,ar-c,,1
2020-02-15,admin_1,mx,mx-agu,,0
2020-02-15,admin_1,mx,mx-bcn,,0
2020-02-15,admin_1,mx,mx-bcs,,0
2020-02-15,admin_1,mx,mx-cam,,0
2020-02-15,admin_1,mx,mx-chh,,0
2020-02-15,admin_1,mx,mx-chp,,0
2020-02-15,admin_1,mx,mx-coa,,0
2020-02-15,admin_1,mx,mx-col,,0
2020-02-15,admin_1,mx,mx-dif,,0
2020-02-15,admin_1,mx,mx-dur,,0
2020-02-15,admin_1,mx,mx-gro,,0
2020-02-15,admin_1,mx,mx-gua,,0
2020-02-15,admin_1,mx,mx-hid,,0
2020-02-15,admin_1,mx,mx-jal,,0
2020-02-15,admin_1,mx,mx-mic,,0
2020-02-15,admin_1,mx,mx-mor,,0
2020-02-15,admin_1,mx,mx-nay,,0
2020-02-15,admin_1,mx,mx-nle,,0
2020-02-15,admin_1,mx,mx-oax,,0
2020-02-15,admin_1,mx,mx-pue,,0
2020-02-15,admin_1,mx,mx-que,,0
2020-02-15,admin_1,mx,mx-roo,,0
2020-02-15,admin_1,mx,mx-sin,,0
2020-02-15,admin_1,mx,mx-slp,,0
2020-02-15,admin_1,mx,mx-son,,0
2020-02-15,admin_1,mx,mx-tab,,0
2020-02-15,admin_1,mx,mx-tam,,0
2020-02-15,admin_1,mx,mx-tla,,0
2020-02-15,admin_1,mx,mx-ver,,0
2020-02-15,admin_1,mx,mx-yuc,,0
2020-02-15,admin_1,mx,mx-zac,,0
2020-02-16,admin_1,br,br-ce,,1
2020-02-16,admin_1,mx,mx-agu,,0
2020-02-16,admin_1,mx,mx-bcn,,0
2020-02-16,admin_1,mx,mx-bcs,,0
2020-02-16,admin_1,mx,mx-cam,,0
2020-02-16,admin_1,mx,mx-chh,,0
2020-02-16,admin_1,mx,mx-chp,,0
2020-02-16,admin_1,mx,mx-coa,,0
2020-02-16,admin_1,mx,mx-col,,0
2020-02-16,admin_1,mx,mx-dif,,0
2020-02-16,admin_1,mx,mx-dur,,0
2020-02-16,admin_1,mx,mx-gro,,0
2020-02-16,admin_1,mx,mx-gua,,0
2020-02-16,admin_1,mx,mx-hid,,0
2020-02-16,admin_1,mx,mx-jal,,0
2020-02-16,admin_1,mx,mx-mic,,0
2020-02-16,admin_1,mx,mx-mor,,0
2020-02-16,admin_1,mx,mx-nay,,0
2020-02-16,admin_1,mx,mx-nle,,0
2020-02-16,admin_1,mx,mx-oax,,0
2020-02-16,admin_1,mx,mx-pue,,0
2020-02-16,admin_1,mx,mx-que,,0
2020-02-16,admin_1,mx,mx-roo,,0
2020-02-16,admin_1,mx,mx-sin,,0
2020-02-16,admin_1,mx,mx-slp,,0
2020-02-16,admin_1,mx,mx-son,,0
2020-02-16,admin_1,mx,mx-tab,,0
2020-02-16,admin_1,mx,mx-tam,,0
2020-02-16,admin_1,mx,mx-tla,,0
2020-02-16,admin_1,mx,mx-ver,,0
2020-02-16,admin_1,mx,mx-yuc,,0
2020-02-16,admin_1,mx,mx-zac,,0
2020-02-17,admin_1,ar,ar-m,,0
2020-02-17,admin_1,mx,mx-agu,,0
2020-02-17,admin_1,mx,mx-bcn,,0
2020-02-17,admin_1,mx,mx-bcs,,0
2020-02-17,admin_1,mx,mx-cam,,0
2020-02-17,admin_1,mx,mx-chh,,0
2020-02-17,admin_1,mx,mx-chp,,0
2020-02-17,admin_1,mx,mx-coa,,0
2020-02-17,admin_1,mx,mx-col,,0
2020-02-17,admin_1,mx,mx-dif,,0
2020-02-17,admin_1,mx,mx-dur,,0
2020-02-17,admin_1,mx,mx-gro,,0
2020-02-17,admin_1,mx,mx-gua,,0
2020-02-17,admin_1,mx,mx-hid,,0
2020-02-17,admin_1,mx,mx-jal,,0
2020-02-17,admin_1,mx,mx-mic,,0
2020-02-17,admin_1,mx,mx-mor,,0
2020-02-17,admin_1,mx,mx-nay,,0
2020-02-17,admin_1,mx,mx-nle,,0
2020-02-17,admin_1,mx,mx-oax,,0
2020-02-17,admin_1,mx,mx-pue,,0
2020-02-17,admin_1,mx,mx-que,,0
2020-02-17,admin_1,mx,mx-roo,,0
2020-02-17,admin_1,mx,mx-sin,,0
2020-02-17,admin_1,mx,mx-slp,,0
2020-02-17,admin_1,mx,mx-son,,0
2020-02-17,admin_1,mx,mx-tab,,0
2020-02-17,admin_1,mx,mx-tam,,0
2020-02-17,admin_1,mx,mx-tla,,0
2020-02-17,admin_1,mx,mx-ver,,0
2020-02-17,admin_1,mx,mx-yuc,,0
2020-02-17,admin_1,mx,mx-zac,,0
2020-02-18,admin_1,mx,mx-agu,,0
2020-02-18,admin_1,mx,mx-bcn,,0
2020-02-18,admin_1,mx,mx-bcs,,0
2020-02-18,admin_1,mx,mx-cam,,0
2020-02-18,admin_1,mx,mx-chh,,0
2020-02-18,admin_1,mx,mx-chp,,0
2020-02-18,admin_1,mx,mx-coa,,0
2020-02-18,admin_1,mx,mx-col,,0
2020-02-18,admin_1,mx,mx-dif,,0
2020-02-18,admin_1,mx,mx-dur,,0
2020-02-18,admin_1,mx,mx-gro,,0
2020-02-18,admin_1,mx,mx-gua,,0
2020-02-18,admin_1,mx,mx-hid,,0
2020-02-18,admin_1,mx,mx-jal,,0
2020-02-18,admin_1,mx,mx-mic,,0
2020-02-18,admin_1,mx,mx-mor,,0
2020-02-18,admin_1,mx,mx-nay,,0
2020-02-18,admin_1,mx,mx-nle,,0
2020-02-18,admin_1,mx,mx-oax,,0
2020-02-18,admin_1,mx,mx-pue,,0
2020-02-18,admin_1,mx,mx-que,,0
2020-02-18,admin_1,mx,mx-roo,,0
2020-02-18,admin_1,mx,mx-sin,,0
2020-02-18,admin_1,mx,mx-slp,,0
2020-02-18,admin_1,mx,mx-son,,0
2020-02-18,admin_1,mx,mx-tab,,0
2020-02-18,admin_1,mx,mx-tam,,0
2020-02-18,admin_1,mx,mx-tla,,0
2020-02-18,admin_1,mx,mx-ver,,0
2020-02-18,admin_1,mx,mx-yuc,,0
2020-02-18,admin_1,mx,mx-zac,,0
2020-02-19,admin_1,br,br-rj,,1
2020-02-19,admin_1,mx,mx-agu,,0
2020-02-19,admin_1,mx,mx-bcn,,0
2020-02-19,admin_1,mx,mx-bcs,,0
2020-02-19,admin_1,mx,mx-cam,,0
2020-02-19,admin_1,mx,mx-chh,,0
2020-02-19,admin_1,mx,mx-chp,,0
2020-02-19,admin_1,mx,mx-coa,,0
2020-02-19,admin_1,mx,mx-col,,0
2020-02-19,admin_1,mx,mx-dif,,0
2020-02-19,admin_1,mx,mx-dur,,0
2020-02-19,admin_1,mx,mx-gro,,0
2020-02-19,admin_1,mx,mx-gua,,0
2020-02-19,admin_1,mx,mx-hid,,0
2020-02-19,admin_1,mx,mx-jal,,0
2020-02-19,admin_1,mx,mx-mic,,0
2020-02-19,admin_1,mx,mx-mor,,0
2020-02-19,admin_1,mx,mx-nay,,0
2020-02-19,admin_1,mx,mx-nle,,0
2020-02-19,admin_1,mx,mx-oax,,0
2020-02-19,admin_1,mx,mx-pue,,0
2020-02-19,admin_1,mx,mx-que,,0
2020-02-19,admin_1,mx,mx-roo,,0
2020-02-19,admin_1,mx,mx-sin,,0
2020-02-19,admin_1,mx,mx-slp,,0
2020-02-19,admin_1,mx,mx-son,,0
2020-02-19,admin_1,mx,mx-tab,,0
2020-02-19,admin_1,mx,mx-tam,,0
2020-02-19,admin_1,mx,mx-tla,,0
2020-02-19,admin_1,mx,mx-ver,,0
2020-02-19,admin_1,mx,mx-yuc,,0
2020-02-19,admin_1,mx,mx-zac,,0
2020-02-20,admin_1,ar,ar-b,,4
2020-02-20,admin_1,ar,ar-m,,0
2020-02-20,admin_1,br,br-sp,,1
2020-02-20,admin_1,mx,mx-agu,,0
2020-02-20,admin_1,mx,mx-bcn,,0
2020-02-20,admin_1,mx,mx-bcs,,0
2020-02-20,admin_1,mx,mx-cam,,0
2020-02-20,admin_1,mx,mx-chh,,0
2020-02-20,admin_1,mx,mx-chp,,0
2020-02-20,admin_1,mx,mx-coa,,0
2020-02-20,admin_1,mx,mx-col,,0
2020-02-20,admin_1,mx,mx-dif,,0
2020-02-20,admin_1,mx,mx-dur,,0
2020-02-20,admin_1,mx,mx-gro,,0
2020-02-20,admin_1,mx,mx-gua,,0
2020-02-20,admin_1,mx,mx-hid,,0
2020-02-20,admin_1,mx,mx-jal,,0
2020-02-20,admin_1,mx,mx-mic,,0
2020-02-20,admin_1,mx,mx-mor,,0
2020-02-20,admin_1,mx,mx-nay,,0
2020-02-20,admin_1,mx,mx-nle,,0
2020-02-20,admin_1,mx,mx-oax,,0
2020-02-20,admin_1,mx,mx-pue,,0
2020-02-20,admin_1,mx,mx-que,,0
2020-02-20,admin_1,mx,mx-roo,,0
2020-02-20,admin_1,mx,mx-sin,,0
2020-02-20,admin_1,mx,mx-slp,,0
2020-02-20,admin_1,mx,mx-son,,0
2020-02-20,admin_1,mx,mx-tab,,0
2020-02-20,admin_1,mx,mx-tam,,0
2020-02-20,admin_1,mx,mx-tla,,0
2020-02-20,admin_1,mx,mx-ver,,0
2020-02-20,admin_1,mx,mx-yuc,,0
2020-02-20,admin_1,mx,mx-zac,,0
2020-02-21,admin_1,br,br-rj,,1
2020-02-21,admin_1,mx,mx-agu,,0
2020-02-21,admin_1,mx,mx-bcn,,0
2020-02-21,admin_1,mx,mx-bcs,,0
2020-02-21,admin_1,mx,mx-cam,,0
2020-02-21,admin_1,mx,mx-chh,,0
2020-02-21,admin_1,mx,mx-chp,,0
2020-02-21,admin_1,mx,mx-coa,,0
2020-02-21,admin_1,mx,mx-col,,0
2020-02-21,admin_1,mx,mx-dif,,0
2020-02-21,admin_1,mx,mx-dur,,0
2020-02-21,admin_1,mx,mx-gro,,0
2020-02-21,admin_1,mx,mx-gua,,0
2020-02-21,admin_1,mx,mx-hid,,0
2020-02-21,admin_1,mx,mx-jal,,0
2020-02-21,admin_1,mx,mx-mic,,0
2020-02-21,admin_1,mx,mx-mor,,0
2020-02-21,admin_1,mx,mx-nay,,0
2020-02-21,admin_1,mx,mx-nle,,0
2020-02-21,admin_1,mx,mx-oax,,0
2020-02-21,admin_1,mx,mx-pue,,0
2020-02-21,admin_1,mx,mx-que,,0
2020-02-21,admin_1,mx,mx-roo,,0
2020-02-21,admin_1,mx,mx-sin,,0
2020-02-21,admin_1,mx,mx-slp,,0
2020-02-21,admin_1,mx,mx-son,,0
2020-02-21,admin_1,mx,mx-tab,,0
2020-02-21,admin_1,mx,mx-tam,,0
2020-02-21,admin_1,mx,mx-tla,,0
2020-02-21,admin_1,mx,mx-ver,,0
2020-02-21,admin_1,mx,mx-yuc,,0
2020-02-21,admin_1,mx,mx-zac,,0
2020-02-22,admin_1,br,br-rj,,2
2020-02-22,admin_1,mx,mx-agu,,0
2020-02-22,admin_1,mx,mx-bcn,,0
2020-02-22,admin_1,mx,mx-bcs,,0
2020-02-22,admin_1,mx,mx-cam,,0
2020-02-22,admin_1,mx,mx-chh,,0
2020-02-22,admin_1,mx,mx-chp,,0
2020-02-22,admin_1,mx,mx-coa,,0
2020-02-22,admin_1,mx,mx-col,,0
2020-02-22,admin_1,mx,mx-dif,,0
2020-02-22,admin_1,mx,mx-dur,,0
2020-02-22,admin_1,mx,mx-gro,,0
2020-02-22,admin_1,mx,mx-gua,,0
2020-02-22,admin_1,mx,mx-hid,,0
2020-02-22,admin_1,mx,mx-jal,,0
2020-02-22,admin_1,mx,mx-mic,,0
2020-02-22,admin_1,mx,mx-mor,,0
2020-02-22,admin_1,mx,mx-nay,,0
2020-02-22,admin_1,mx,mx-nle,,0
2020-02-22,admin_1,mx,mx-oax,,0
2020-02-22,admin_1,mx,mx-pue,,0
2020-02-22,admin_1,mx,mx-que,,0
2020-02-22,admin_1,mx,mx-roo,,0
2020-02-22,admin_1,mx,mx-sin,,0
2020-02-22,admin_1,mx,mx-slp,,0
2020-02-22,admin_1,mx,mx-son,,0
2020-02-22,admin_1,mx,mx-tab,,0
2020-02-22,admin_1,mx,mx-tam,,0
2020-02-22,admin_1,mx,mx-tla,,0
2020-02-22,admin_1,mx,mx-ver,,0
2020-02-22,admin_1,mx,mx-yuc,,0
2020-02-22,admin_1,mx,mx-zac,,0
2020-02-23,admin_1,br,br-rj,,3
2020-02-23,admin_1,mx,mx-agu,,0
2020-02-23,admin_1,mx,mx-bcn,,0
2020-02-23,admin_1,mx,mx-bcs,,0
2020-02-23,admin_1,mx,mx-cam,,0
2020-02-23,admin_1,mx,mx-chh,,0
2020-02-23,admin_1,mx,mx-chp,,0
2020-02-23,admin_1,mx,mx-coa,,0
2020-02-23,admin_1,mx,mx-col,,0
2020-02-23,admin_1,mx,mx-dif,,0
2020-02-23,admin_1,mx,mx-dur,,0
2020-02-23,admin_1,mx,mx-gro,,0
