date,region_schema,region_parent,region_child,agerange,value
2020-04-08,co_municipality,co-nsa,san josé de cúcuta,,14
2020-04-17,co_municipality,co-cun,soacha,,27
2020-04-21,co_municipality,co-cun,soacha,,37
2020-04-26,co_municipality,co-cun,soacha,,40
2020-05-30,co_municipality,co-cun,soacha,,211
2020-06-04,co_municipality,co-cun,soacha,,269
2020-06-08,co_municipality,co-cun,soacha,,308
2020-06-08,co_municipality,co-san,bucaramanga,,19
2020-06-10,co_municipality,co-cun,soacha,,317
2020-06-12,co_municipality,co-cun,soacha,,345
2020-06-13,co_municipality,co-atl,tubará,,32
2020-06-14,co_municipality,co-cun,soacha,,384
2020-06-15,co_municipality,co-cun,soacha,,388
2020-06-16,co_municipality,co-atl,tubará,,40
2020-06-18,co_municipality,co-cun,soacha,,405
2020-06-18,co_municipality,co-san,bucaramanga,,51
2020-06-20,co_municipality,co-cun,soacha,,388
2020-06-21,co_municipality,co-cun,soacha,,380
2020-06-22,co_municipality,co-cau,popayán,,44
2020-06-22,co_municipality,co-nsa,san josé de cúcuta,,55
2020-06-23,co_municipality,co-cau,popayán,,49
2020-06-23,co_municipality,co-cun,soacha,,411
2020-06-23,co_municipality,co-san,bucaramanga,,81
2020-06-24,co_municipality,co-cun,soacha,,420
2020-06-25,co_municipality,co-cun,soacha,,433
2020-06-26,co_municipality,co-san,bucaramanga,,84
2020-06-28,co_municipality,co-atl,tubará,,57
2020-06-28,co_municipality,co-cun,soacha,,482
2020-06-28,co_municipality,co-put,valle del guamuez,,3
2020-06-29,co_municipality,co-cun,soacha,,474
2020-06-29,co_municipality,co-san,bucaramanga,,92
2020-06-30,co_municipality,co-cun,soacha,,515
2020-06-30,co_municipality,co-nsa,san josé de cúcuta,,73
2020-07-01,co_municipality,co-cun,soacha,,544
2020-07-03,co_municipality,co-cun,soacha,,596
2020-07-03,co_municipality,co-san,bucaramanga,,123
2020-07-04,co_municipality,co-ces,la paz,,15
2020-07-04,co_municipality,co-cun,soacha,,625
2020-07-05,co_municipality,co-cun,soacha,,613
2020-07-05,co_municipality,co-nsa,san josé de cúcuta,,92
2020-07-06,co_municipality,co-cau,popayán,,139
2020-07-06,co_municipality,co-cun,soacha,,580
2020-07-06,co_municipality,co-san,bucaramanga,,135
2020-07-07,co_municipality,co-cau,popayán,,143
2020-07-07,co_municipality,co-cun,soacha,,576
2020-07-07,co_municipality,co-nar,mallama,,2
2020-07-07,co_municipality,co-nsa,los patios,,16
2020-07-07,co_municipality,co-nsa,san josé de cúcuta,,98
2020-07-08,co_municipality,co-atl,tubará,,54
2020-07-08,co_municipality,co-cun,soacha,,606
2020-07-09,co_municipality,co-cau,popayán,,146
2020-07-09,co_municipality,co-cun,soacha,,644
2020-07-09,co_municipality,co-nsa,san josé de cúcuta,,107
2020-07-09,co_municipality,co-san,bucaramanga,,149
2020-07-10,co_municipality,co-cun,soacha,,765
2020-07-10,co_municipality,co-san,bucaramanga,,174
2020-07-11,co_municipality,co-cun,soacha,,755
2020-07-11,co_municipality,co-nsa,los patios,,38
2020-07-11,co_municipality,co-put,valle del guamuez,,18
2020-07-12,co_municipality,co-cau,popayán,,176
2020-07-12,co_municipality,co-cun,soacha,,791
2020-07-12,co_municipality,co-nsa,san josé de cúcuta,,195
2020-07-13,co_municipality,co-cun,soacha,,829
2020-07-13,co_municipality,co-nsa,san josé de cúcuta,,188
2020-07-13,co_municipality,co-san,bucaramanga,,202
2020-07-14,co_municipality,co-atl,tubará,,53
2020-07-14,co_municipality,co-cau,popayán,,172
2020-07-14,co_municipality,co-cun,soacha,,854
2020-07-14,co_municipality,co-nsa,san josé de cúcuta,,217
2020-07-14,co_municipality,co-san,bucaramanga,,224
2020-07-15,co_municipality,co-cun,soacha,,890
2020-07-15,co_municipality,co-nsa,san josé de cúcuta,,218
2020-07-16,co_municipality,co-cun,soacha,,994
2020-07-16,co_municipality,co-nsa,san josé de cúcuta,,249
2020-07-16,co_municipality,co-san,bucaramanga,,293
2020-07-17,co_municipality,co-cun,soacha,,1073
2020-07-17,co_municipality,co-cun,sopó,,34
2020-07-17,co_municipality,co-nsa,san josé de cúcuta,,270
2020-07-17,co_municipality,co-san,bucaramanga,,323
2020-07-18,co_municipality,co-atl,manatí,,34
2020-07-18,co_municipality,co-atl,tubará,,100
2020-07-18,co_municipality,co-cau,popayán,,264
2020-07-18,co_municipality,co-cun,soacha,,1148
2020-07-18,co_municipality,co-nsa,san josé de cúcuta,,285
2020-07-18,co_municipality,co-san,bucaramanga,,348
2020-07-19,co_municipality,co-cun,soacha,,1127
2020-07-19,co_municipality,co-nsa,san josé de cúcuta,,308
2020-07-20,co_municipality,co-atl,tubará,,79
2020-07-20,co_municipality,co-cau,popayán,,290
2020-07-20,co_municipality,co-cun,soacha,,1160
2020-07-20,co_municipality,co-mag,el retén,,15
2020-07-20,co_municipality,co-nsa,san josé de cúcuta,,322
2020-07-20,co_municipality,co-san,bucaramanga,,377
2020-07-21,co_municipality,co-atl,tubará,,83
2020-07-21,co_municipality,co-cau,popayán,,291
2020-07-21,co_municipality,co-cun,soacha,,1181
2020-07-21,co_municipality,co-nsa,san josé de cúcuta,,351
2020-07-21,co_municipality,co-san,bucaramanga,,393
2020-07-22,co_municipality,co-cau,popayán,,361
2020-07-22,co_municipality,co-cun,soacha,,1260
