date,region_schema,region_parent,region_child,agerange,value
2020-03-02,admin_1,de,de-bb,,0
2020-03-02,admin_1,de,de-be,,0
2020-03-02,admin_1,de,de-bw,,0
2020-03-02,admin_1,de,de-by,,0
2020-03-02,admin_1,de,de-hb,,0
2020-03-02,admin_1,de,de-he,,0
2020-03-02,admin_1,de,de-hh,,0
2020-03-02,admin_1,de,de-mv,,0
2020-03-02,admin_1,de,de-ni,,0
2020-03-02,admin_1,de,de-nw,,0
2020-03-02,admin_1,de,de-rp,,0
2020-03-02,admin_1,de,de-sh,,0
2020-03-02,admin_1,de,de-sl,,0
2020-03-02,admin_1,de,de-sn,,0
2020-03-02,admin_1,de,de-st,,0
2020-03-02,admin_1,de,de-th,,0
2020-03-03,admin_1,de,de-bb,,0
2020-03-03,admin_1,de,de-be,,0
2020-03-03,admin_1,de,de-bw,,0
2020-03-03,admin_1,de,de-by,,0
2020-03-03,admin_1,de,de-hb,,0
2020-03-03,admin_1,de,de-he,,0
2020-03-03,admin_1,de,de-hh,,0
2020-03-03,admin_1,de,de-mv,,0
2020-03-03,admin_1,de,de-ni,,0
2020-03-03,admin_1,de,de-nw,,0
2020-03-03,admin_1,de,de-rp,,0
2020-03-03,admin_1,de,de-sh,,0
2020-03-03,admin_1,de,de-sl,,0
2020-03-03,admin_1,de,de-sn,,0
2020-03-03,admin_1,de,de-st,,0
2020-03-03,admin_1,de,de-th,,0
2020-03-04,admin_1,de,de-bb,,0
2020-03-04,admin_1,de,de-be,,0
2020-03-04,admin_1,de,de-bw,,1
2020-03-04,admin_1,de,de-by,,0
2020-03-04,admin_1,de,de-hb,,0
2020-03-04,admin_1,de,de-he,,0
2020-03-04,admin_1,de,de-hh,,0
2020-03-04,admin_1,de,de-mv,,0
2020-03-04,admin_1,de,de-ni,,0
2020-03-04,admin_1,de,de-nw,,1
2020-03-04,admin_1,de,de-rp,,0
2020-03-04,admin_1,de,de-sh,,0
2020-03-04,admin_1,de,de-sl,,0
2020-03-04,admin_1,de,de-sn,,0
2020-03-04,admin_1,de,de-st,,0
2020-03-04,admin_1,de,de-th,,0
2020-03-05,admin_1,de,de-bb,,0
2020-03-05,admin_1,de,de-be,,0
2020-03-05,admin_1,de,de-bw,,1
2020-03-05,admin_1,de,de-by,,1
2020-03-05,admin_1,de,de-hb,,0
2020-03-05,admin_1,de,de-he,,0
2020-03-05,admin_1,de,de-hh,,0
2020-03-05,admin_1,de,de-mv,,0
