region_schema,region_parent,region_child,agerange,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26
admin_1,mw,mw-lk,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,,2,2,,3,3,4,,4,4,5,5,5,5,5,5,4,5,,5,5,5,5,5,5,5,5,5,5,4,4,4,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4,4,4,4,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,
admin_1,mw,mw-mc,,9,,19,19,23,23,30,30,33,33,37,38,39,39,39,40,40,41,42,42,42,45,45,,49,49,,50,50,50,,51,51,51,51,51,51,51,52,52,54,,55,55,55,56,58,58,59,59,59,59,59,61,61,,61,61,63,63,,63,63,63,63,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,65,65,65,,65,65,66,66,66,66,66,66,,66,66,66,66,,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,66,66,66,66,66,66,66,66,66,,66,66,66,66,66,66,,66,66,66,66,66,66,66,66,66,66,66,,66,66,66,66,66,66,66,
admin_1,mw,mw-mg,,61,,66,68,69,69,69,73,80,86,86,90,94,97,99,101,108,111,111,111,111,114,114,,124,124,,126,126,127,,132,132,132,133,133,133,133,133,133,133,,140,140,140,142,142,142,142,142,142,142,142,142,142,,143,143,144,145,,145,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,,146,146,146,,146,146,148,148,148,148,149,149,,149,149,149,149,,149,149,149,149,149,149,149,150,150,150,151,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,,153,155,155,155,155,155,155,155,155,,155,156,156,156,157,157,,157,157,157,157,157,157,157,157,157,157,157,,157,157,157,157,157,157,157,
admin_1,mw,mw-mh,,,,28,28,28,28,30,32,40,43,43,46,48,48,49,49,51,51,51,51,51,58,58,,57,57,,58,58,58,,63,63,63,63,63,63,65,65,65,65,,66,66,66,68,68,68,68,68,68,68,69,68,68,,68,68,69,71,,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,73,73,73,73,73,73,73,73,,73,73,73,,73,73,73,73,73,73,73,73,,73,73,73,73,,73,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,,70,70,70,70,70,70,70,70,70,,70,70,70,70,70,70,,70,70,70,70,70,70,70,70,70,70,70,,70,70,70,70,70,70,70,
admin_1,mw,mw-mu,,9,,9,9,9,9,10,12,15,15,15,17,17,21,21,22,24,24,28,28,28,28,28,,29,31,,32,32,32,,34,34,34,34,35,35,35,35,35,37,,40,40,40,40,40,40,40,40,40,40,40,40,40,,40,40,40,40,,40,40,40,40,40,41,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,43,43,43,,43,43,43,43,43,43,43,43,,43,43,43,43,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,43,43,43,43,43,43,43,43,43,,43,43,43,43,43,43,,43,43,43,43,43,43,43,43,43,43,43,,43,43,43,43,43,43,43,
admin_1,mw,mw-mw,,175,,176,180,184,184,199,200,200,202,203,203,206,207,209,210,210,212,212,212,212,214,214,,193,193,,214,214,224,,224,225,225,226,227,227,227,227,228,239,,233,233,233,233,233,233,233,233,233,233,233,233,233,,232,232,232,232,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,,232,232,232,,232,232,232,232,232,232,232,232,,232,232,232,232,,232,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,,231,231,231,231,231,231,231,233,232,,232,232,232,232,232,232,,232,232,232,232,232,232,232,232,232,232,232,,232,232,232,232,232,232,232,
admin_1,mw,mw-mz,,216,,249,274,322,322,334,361,381,401,419,428,447,469,476,492,501,506,511,535,535,537,537,,576,576,,589,589,595,,601,601,615,621,629,629,635,636,636,636,,638,649,649,655,655,655,669,676,677,677,692,692,692,,698,698,699,699,,699,699,699,699,699,703,703,703,703,703,705,706,706,706,706,706,706,706,706,706,706,706,706,706,709,,709,710,710,,714,714,714,714,714,714,714,719,,719,719,719,720,,720,720,720,720,720,720,720,726,726,727,730,740,742,742,742,742,742,742,742,742,742,742,742,742,742,742,,745,745,745,745,745,746,746,746,748,,748,748,746,746,749,749,,749,749,749,749,749,749,749,749,751,751,751,,751,751,751,751,751,751,751,
admin_1,mw,mw-nb,,28,,30,32,36,36,41,41,57,63,64,64,71,71,71,76,80,81,84,98,98,115,115,,120,133,,139,139,153,,153,164,164,164,168,168,169,169,170,170,,173,182,182,187,187,187,189,189,189,189,191,191,191,,191,191,191,191,,191,191,191,191,191,191,191,191,192,192,192,192,192,192,192,192,192,192,192,194,194,194,194,194,194,,194,195,195,,196,196,196,196,196,196,196,196,,196,196,196,196,,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,,196,196,196,196,196,196,196,196,196,,196,196,196,196,196,196,,196,196,196,196,196,196,196,196,196,196,196,,196,196,196,196,196,196,196,
admin_1,mw,mw-ne,,11,,11,12,12,12,12,12,12,15,18,18,23,25,29,30,30,34,36,37,37,37,37,,63,63,,56,56,57,,59,59,59,60,60,60,60,60,60,58,,58,58,58,58,58,58,58,58,58,58,58,58,58,,58,58,58,58,,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,59,59,59,,59,59,59,59,59,59,59,59,,59,59,59,59,,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,59,59,59,59,59,59,59,59,59,,59,59,59,59,59,59,,59,59,59,59,59,59,59,59,59,59,59,,59,59,59,59,59,59,59,
admin_1,mw,mw-ni,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,2,,2,2,2,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,3,3,3,3,3,3,3,3,3,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4,4,4,4,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,
admin_1,mw,mw-nk,,23,,23,23,23,23,23,24,24,26,26,30,33,33,33,33,35,35,35,35,35,36,36,,34,34,,36,36,35,,35,35,35,39,40,40,43,43,43,43,,48,57,57,62,62,62,62,62,65,65,78,78,78,,78,78,82,83,,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,,84,84,84,,84,84,84,84,84,84,84,84,,84,84,84,84,,84,84,84,84,84,84,84,84,84,84,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,88,88,88,,88,88,88,88,88,88,88,
admin_1,mw,mw-ns,,23,,24,24,24,24,26,28,29,29,29,29,31,31,31,31,32,32,32,32,32,34,34,,34,34,,34,34,35,,36,36,36,37,37,37,37,37,37,34,,34,34,34,34,34,34,34,34,34,34,34,34,34,,34,34,35,35,,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,37,37,37,,37,37,37,37,37,37,37,37,,37,37,37,37,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,37,37,37,37,37,37,37,37,37,,37,37,37,37,37,37,,37,37,37,37,37,37,37,37,37,37,37,,37,37,37,37,37,37,37,
admin_1,mw,mw-nu,,16,,17,17,17,17,17,17,20,20,23,23,23,25,25,25,26,26,26,26,26,26,26,,38,38,,42,42,42,,42,42,42,42,42,42,42,42,42,42,,42,42,42,42,42,42,43,43,43,43,43,43,43,,43,43,44,44,,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,45,45,45,,45,45,45,45,45,45,45,45,,45,45,45,45,,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,49,49,49,49,49,49,49,49,49,49,49,,49,49,53,53,53,53,53,53,53,,53,53,53,53,53,53,,53,53,53,53,53,53,53,53,53,53,53,,53,53,53,53,53,53,53,
admin_1,mw,mw-ph,,3,,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,,6,9,,9,9,9,,9,9,10,10,10,10,10,10,10,11,,11,11,11,11,11,11,11,11,11,11,11,11,11,,11,11,11,12,,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,11,11,11,,11,11,11,11,11,11,11,11,,11,11,11,11,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,11,11,11,11,11,11,11,11,11,,11,11,11,11,11,11,,11,11,11,11,11,11,11,11,11,11,11,,11,11,11,11,11,11,11,
admin_1,mw,mw-ru,,12,,13,13,14,14,18,18,19,19,19,21,22,22,24,24,24,26,27,27,27,28,28,,28,27,,29,29,29,,30,30,30,30,30,30,30,30,30,30,,32,32,32,32,32,32,32,32,32,32,32,32,32,,32,32,32,32,,32,32,32,32,32,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,36,36,36,,36,36,36,36,36,36,36,36,,36,36,36,36,,36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,40,40,56,56,56,56,56,56,56,,56,56,56,56,56,56,,56,56,56,56,56,56,56,56,56,56,56,,56,56,56,56,56,56,56,
admin_1,mw,mw-sa,,18,,21,21,21,21,21,21,21,22,22,22,22,22,22,22,24,24,24,24,24,25,25,,27,32,,36,36,37,,39,44,44,44,44,44,44,44,44,44,,46,46,46,47,47,47,47,47,47,47,47,47,47,,47,47,48,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,47,47,47,,47,47,47,47,47,47,47,47,,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,,47,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,,47,47,47,47,47,47,47,
admin_1,mw,mw-th,,26,,28,30,33,33,33,33,41,42,42,43,43,43,43,43,44,44,44,44,44,44,44,,46,48,,50,50,50,,51,51,51,51,51,51,56,56,56,57,,58,58,58,58,58,58,59,59,59,59,59,59,59,,59,59,61,67,,67,67,67,67,67,67,67,67,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,66,66,66,,66,66,66,66,66,68,68,68,,68,68,68,68,,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,,69,69,70,70,70,70,70,71,72,,72,72,72,72,72,72,,72,72,72,72,72,72,72,72,72,72,72,,72,72,72,72,72,72,72,
admin_1,mw,mw-zo,,32,,32,33,34,34,39,41,49,49,49,53,54,56,62,64,72,75,78,78,78,84,84,,96,96,,112,112,120,,123,123,124,124,132,132,137,137,137,139,,150,150,150,150,150,150,150,150,150,150,150,150,150,,150,150,150,150,,150,150,150,150,150,150,150,150,153,153,153,153,153,153,153,153,153,155,155,155,155,155,155,155,155,,155,155,155,,155,155,155,155,155,155,155,155,,155,155,155,156,,156,156,156,156,156,156,156,156,156,156,157,157,157,157,157,157,157,157,157,158,158,158,158,158,158,158,,158,158,158,158,158,158,158,159,159,,159,159,159,159,159,160,,160,160,160,160,160,160,160,160,161,161,161,,161,161,161,161,161,161,161,
admin_1,mw,unknown,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
